Route_Number,Reason,Schools_Serviced,Occurred_On,Boro,Bus_Company_Name,How_Long_Delayed,Number_Of_Students_On_The_Bus,Breakdown_or_Running_Late
M990,Problem Run,2622,07 O'Clock,Manhattan,HOYT TRANSPORTATION CORP.,30 MIN,3,Running Late
M526,Heavy Traffic,2444,07 O'Clock,Manhattan,PRIDE TRANSPORTATION ,15 MIN,3,Running Late
M810,Heavy Traffic,2632,07 O'Clock,Manhattan,PRIDE TRANSPORTATION ,15 MIN,3,Running Late
M636,Problem Run,2930,08 O'Clock,Manhattan,HOYT TRANSPORTATION CORP.,1 HR,5,Running Late
M631,Heavy Traffic,2930,08 O'Clock,Manhattan,HOYT TRANSPORTATION CORP.,-1,5,Breakdown
M664,Heavy Traffic,3417,08 O'Clock,Manhattan,HOYT TRANSPORTATION CORP.,-1,5,Breakdown
M648,Heavy Traffic,3417,08 O'Clock,Manhattan,HOYT TRANSPORTATION CORP.,15 MIN,4,Running Late
L733,Heavy Traffic,17862,08 O'Clock,Brooklyn,"RELIANT TRANS, INC.",20 MIN,2,Running Late
L734,Heavy Traffic,17862,08 O'Clock,Others,"RELIANT TRANS, INC.",-1,2252,Breakdown
M868,Heavy Traffic,4112,08 O'Clock,Manhattan,PRIDE TRANSPORTATION ,10 MIN,3,Running Late
M658,Problem Run,2911,07 O'Clock,Manhattan,HOYT TRANSPORTATION CORP.,30 MIN,2,Running Late
W927,Heavy Traffic,75619,07 O'Clock,Westchester,"RELIANT TRANS, INC.",30 MIN,2,Running Late
M704,Problem Run,1400,07 O'Clock,Manhattan,HOYT TRANSPORTATION CORP.,20 MIN,6,Running Late
M696,Problem Run,2035,07 O'Clock,Manhattan,HOYT TRANSPORTATION CORP.,30 MIN,6,Running Late
M657,Problem Run,2911,07 O'Clock,Manhattan,HOYT TRANSPORTATION CORP.,30 MIN,7,Running Late
M781,Heavy Traffic,2023,07 O'Clock,Manhattan,HOYT TRANSPORTATION CORP.,30 MIN,1,Running Late
X369,Heavy Traffic,7454,07 O'Clock,Bronx,VAN TRANS LLC,20 MIN,8,Running Late
M936,Heavy Traffic,1616,07 O'Clock,Manhattan,HOYT TRANSPORTATION CORP.,15 MIN,4,Running Late
M526,Heavy Traffic,2444,07 O'Clock,Manhattan,PRIDE TRANSPORTATION ,15 MIN,2,Running Late
R587,Heavy Traffic,31970,07 O'Clock,Staten Island,PRIDE TRANSPORTATION ,15 MIN,1,Running Late
M300,Heavy Traffic,2032,07 O'Clock,Manhattan,PRIDE TRANSPORTATION ,10 MIN,7,Running Late
M802,Heavy Traffic,2632,07 O'Clock,Manhattan,PRIDE TRANSPORTATION ,20 MIN,8,Running Late
M675,Heavy Traffic,2655,07 O'Clock,Manhattan,HOYT TRANSPORTATION CORP.,15 MIN,7,Running Late
